#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-2022090	Assembly of collagen fibrils and other multimeric structures	7	61	1.03	0.77	0.00069	9606.ENSP00000225964,9606.ENSP00000260227,9606.ENSP00000260302,9606.ENSP00000304408,9606.ENSP00000327368,9606.ENSP00000359114,9606.ENSP00000361405	COL1A1,MMP7,MMP13,COL3A1,COL10A1,COL11A1,MMP9
HSA-9648025	EML4 and NUDC in mitotic spindle formation	9	116	0.86	0.73	0.00069	9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000300093,9606.ENSP00000302530,9606.ENSP00000355922,9606.ENSP00000361540,9606.ENSP00000362018	SGO1,CENPE,NUF2,BUB1B,PLK1,BUB1,CENPF,CDC20,CENPI
HSA-913709	O-linked glycosylation of mucins	7	64	1.01	0.75	0.00087	9606.ENSP00000265000,9606.ENSP00000321874,9606.ENSP00000365473,9606.ENSP00000379377,9606.ENSP00000381008,9606.ENSP00000436812,9606.ENSP00000485028	GALNT7,B3GNT3,MUC21,GCNT3,MUC16,MUC5B,MUC13
HSA-68886	M Phase	15	369	0.58	0.59	0.0013	9606.ENSP00000240423,9606.ENSP00000251496,9606.ENSP00000256442,9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000300093,9606.ENSP00000302530,9606.ENSP00000355922,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000378356,9606.ENSP00000378699	NCAPH,NCAPG,CCNB1,SGO1,CENPE,NUF2,BUB1B,CCNB2,PLK1,BUB1,CENPF,CDC20,CENPI,KIF20A,CDK1
HSA-1538133	G0 and Early G1	5	27	1.24	0.73	0.0016	9606.ENSP00000209728,9606.ENSP00000217026,9606.ENSP00000378699,9606.ENSP00000411532,9606.ENSP00000481380	CDC6,MYBL2,CDK1,TOP2A,CCNA2
HSA-195258	RHO GTPase Effectors	13	291	0.62	0.58	0.0018	9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000300093,9606.ENSP00000302530,9606.ENSP00000340989,9606.ENSP00000354451,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000361540,9606.ENSP00000362018,9606.ENSP00000377793	SGO1,CENPE,NUF2,BUB1B,PLK1,BUB1,SFN,IQGAP3,CENPF,KIF14,CDC20,CENPI,PRC1
HSA-69205	G1/S-Specific Transcription	5	28	1.22	0.71	0.0018	9606.ENSP00000209728,9606.ENSP00000315644,9606.ENSP00000353770,9606.ENSP00000378699,9606.ENSP00000405726	CDC6,TYMS,RRM2,CDK1,CDC45
HSA-5663220	RHO GTPases Activate Formins	9	139	0.78	0.61	0.0021	9606.ENSP00000263753,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000300093,9606.ENSP00000302530,9606.ENSP00000355922,9606.ENSP00000361540,9606.ENSP00000362018	SGO1,CENPE,NUF2,BUB1B,PLK1,BUB1,CENPF,CDC20,CENPI
HSA-162658	Golgi Cisternae Pericentriolar Stack Reorganization	4	14	1.43	0.7	0.0024	9606.ENSP00000256442,9606.ENSP00000288207,9606.ENSP00000300093,9606.ENSP00000378699	CCNB1,CCNB2,PLK1,CDK1
HSA-69473	G2/M DNA damage checkpoint	7	79	0.92	0.63	0.0025	9606.ENSP00000256442,9606.ENSP00000259008,9606.ENSP00000340989,9606.ENSP00000355506,9606.ENSP00000378699,9606.ENSP00000391090,9606.ENSP00000481380	CCNB1,BRIP1,SFN,EXO1,CDK1,CHEK1,CCNA2
HSA-9734767	Developmental Cell Lineages	9	151	0.75	0.56	0.0036	9606.ENSP00000225964,9606.ENSP00000263735,9606.ENSP00000265171,9606.ENSP00000296695,9606.ENSP00000299339,9606.ENSP00000304408,9606.ENSP00000359114,9606.ENSP00000481841,9606.ENSP00000501092	COL1A1,EPCAM,EGF,SPINK1,CLDN10,COL3A1,COL11A1,CD24,TFAP2A
HSA-69206	G1/S Transition	8	120	0.8	0.56	0.0043	9606.ENSP00000209728,9606.ENSP00000256442,9606.ENSP00000311083,9606.ENSP00000315644,9606.ENSP00000353770,9606.ENSP00000378699,9606.ENSP00000405726,9606.ENSP00000481380	CDC6,CCNB1,CKS1B,TYMS,RRM2,CDK1,CDC45,CCNA2
HSA-5083625	Defective GALNT3 causes HFTC	4	18	1.32	0.61	0.0049	9606.ENSP00000365473,9606.ENSP00000381008,9606.ENSP00000436812,9606.ENSP00000485028	MUC21,MUC16,MUC5B,MUC13
HSA-5083636	Defective GALNT12 causes CRCS1	4	18	1.32	0.61	0.0049	9606.ENSP00000365473,9606.ENSP00000381008,9606.ENSP00000436812,9606.ENSP00000485028	MUC21,MUC16,MUC5B,MUC13
HSA-5173105	O-linked glycosylation	8	125	0.78	0.54	0.0051	9606.ENSP00000265000,9606.ENSP00000321874,9606.ENSP00000355751,9606.ENSP00000365473,9606.ENSP00000379377,9606.ENSP00000381008,9606.ENSP00000436812,9606.ENSP00000485028	GALNT7,B3GNT3,THBS2,MUC21,GCNT3,MUC16,MUC5B,MUC13
HSA-176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	6	63	0.95	0.57	0.0052	9606.ENSP00000256442,9606.ENSP00000287598,9606.ENSP00000300093,9606.ENSP00000361540,9606.ENSP00000378699,9606.ENSP00000481380	CCNB1,BUB1B,PLK1,CDC20,CDK1,CCNA2
HSA-5083632	Defective C1GALT1C1 causes TNPS	4	19	1.3	0.61	0.0052	9606.ENSP00000365473,9606.ENSP00000381008,9606.ENSP00000436812,9606.ENSP00000485028	MUC21,MUC16,MUC5B,MUC13
HSA-176408	Regulation of APC/C activators between G1/S and early anaphase	6	67	0.92	0.54	0.0068	9606.ENSP00000256442,9606.ENSP00000287598,9606.ENSP00000300093,9606.ENSP00000361540,9606.ENSP00000378699,9606.ENSP00000481380	CCNB1,BUB1B,PLK1,CDC20,CDK1,CCNA2
HSA-5693579	Homologous DNA Pairing and Strand Exchange	5	42	1.05	0.55	0.0073	9606.ENSP00000228843,9606.ENSP00000259008,9606.ENSP00000352271,9606.ENSP00000355506,9606.ENSP00000391090	RAD51AP1,BRIP1,XRCC2,EXO1,CHEK1
