#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0004252	Serine-type endopeptidase activity	13	180	0.83	0.81	0.00021	9606.ENSP00000188790,9606.ENSP00000215743,9606.ENSP00000260227,9606.ENSP00000260302,9606.ENSP00000277903,9606.ENSP00000307519,9606.ENSP00000322788,9606.ENSP00000361405,9606.ENSP00000361850,9606.ENSP00000416037,9606.ENSP00000416561,9606.ENSP00000458585,9606.ENSP00000488437	FAP,MMP11,MMP7,MMP13,HABP2,TMPRSS11E,MMP1,MMP9,PLAU,TMPRSS4,CFB,MMP12,PRSS2
GO:0008236	Serine-type peptidase activity	14	198	0.82	0.81	0.00021	9606.ENSP00000188790,9606.ENSP00000215743,9606.ENSP00000260227,9606.ENSP00000260302,9606.ENSP00000277903,9606.ENSP00000307519,9606.ENSP00000322788,9606.ENSP00000341565,9606.ENSP00000361405,9606.ENSP00000361850,9606.ENSP00000416037,9606.ENSP00000416561,9606.ENSP00000458585,9606.ENSP00000488437	FAP,MMP11,MMP7,MMP13,HABP2,TMPRSS11E,MMP1,FAM111B,MMP9,PLAU,TMPRSS4,CFB,MMP12,PRSS2
GO:0004222	Metalloendopeptidase activity	10	110	0.93	0.77	0.00052	9606.ENSP00000215743,9606.ENSP00000256412,9606.ENSP00000260227,9606.ENSP00000260302,9606.ENSP00000265769,9606.ENSP00000322788,9606.ENSP00000357668,9606.ENSP00000361405,9606.ENSP00000458585,9606.ENSP00000488437	MMP11,ADAMDEC1,MMP7,MMP13,ADAM28,MMP1,ADAM12,MMP9,MMP12,PRSS2
GO:0004175	Endopeptidase activity	16	397	0.58	0.48	0.0061	9606.ENSP00000188790,9606.ENSP00000215743,9606.ENSP00000256412,9606.ENSP00000260227,9606.ENSP00000260302,9606.ENSP00000265769,9606.ENSP00000277903,9606.ENSP00000307519,9606.ENSP00000322788,9606.ENSP00000357668,9606.ENSP00000361405,9606.ENSP00000361850,9606.ENSP00000416037,9606.ENSP00000416561,9606.ENSP00000458585,9606.ENSP00000488437	FAP,MMP11,ADAMDEC1,MMP7,MMP13,ADAM28,HABP2,TMPRSS11E,MMP1,ADAM12,MMP9,PLAU,TMPRSS4,CFB,MMP12,PRSS2
GO:0003777	Microtubule motor activity	7	68	0.98	0.53	0.0084	9606.ENSP00000260731,9606.ENSP00000265148,9606.ENSP00000356319,9606.ENSP00000363524,9606.ENSP00000378356,9606.ENSP00000383737,9606.ENSP00000385545	KIF11,CENPE,KIF14,KIF4A,KIF20A,DNAH14,KIF26B
GO:0005488	Binding	194	16145	0.05	0.3	0.0084	9606.ENSP00000188790,9606.ENSP00000209728,9606.ENSP00000215743,9606.ENSP00000216446,9606.ENSP00000216862,9606.ENSP00000217026,9606.ENSP00000217289,9606.ENSP00000218388,9606.ENSP00000219022,9606.ENSP00000219746,9606.ENSP00000221972,9606.ENSP00000221992,9606.ENSP00000222271,9606.ENSP00000225964,9606.ENSP00000228843,9606.ENSP00000240423,9606.ENSP00000247191,9606.ENSP00000250457,9606.ENSP00000251496,9606.ENSP00000252809,9606.ENSP00000254051,9606.ENSP00000255409,9606.ENSP00000256412,9606.ENSP00000256442,9606.ENSP00000256447,9606.ENSP00000257264,9606.ENSP00000258729,9606.ENSP00000259008,9606.ENSP00000260128,9606.ENSP00000260227,9606.ENSP00000260302,9606.ENSP00000260731,9606.ENSP00000261622,9606.ENSP00000262460,9606.ENSP00000263326,9606.ENSP00000263735,9606.ENSP00000263753,9606.ENSP00000264012,9606.ENSP00000264596,9606.ENSP00000264613,9606.ENSP00000265000,9606.ENSP00000265148,9606.ENSP00000265171,9606.ENSP00000265748,9606.ENSP00000265769,9606.ENSP00000268138,9606.ENSP00000271452,9606.ENSP00000272895,9606.ENSP00000274793,9606.ENSP00000275358,9606.ENSP00000276708,9606.ENSP00000277903,9606.ENSP00000280612,9606.ENSP00000283871,9606.ENSP00000285238,9606.ENSP00000286758,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000289429,9606.ENSP00000296370,9606.ENSP00000296695,9606.ENSP00000296861,9606.ENSP00000297205,9606.ENSP00000298048,9606.ENSP00000299339,9606.ENSP00000299565,9606.ENSP00000300035,9606.ENSP00000300093,9606.ENSP00000300283,9606.ENSP00000300403,9606.ENSP00000302530,9606.ENSP00000304408,9606.ENSP00000305603,9606.ENSP00000305731,9606.ENSP00000306968,9606.ENSP00000307519,9606.ENSP00000307540,9606.ENSP00000308815,9606.ENSP00000311083,9606.ENSP00000313600,9606.ENSP00000315644,9606.ENSP00000318270,9606.ENSP00000318437,9606.ENSP00000319622,9606.ENSP00000319788,9606.ENSP00000320147,9606.ENSP00000321835,9606.ENSP00000321874,9606.ENSP00000322788,9606.ENSP00000323300,9606.ENSP00000327290,9606.ENSP00000327368,9606.ENSP00000329403,9606.ENSP00000329697,9606.ENSP00000330523,9606.ENSP00000335357,9606.ENSP00000337060,9606.ENSP00000340989,9606.ENSP00000341565,9606.ENSP00000341610,9606.ENSP00000342307,9606.ENSP00000352271,9606.ENSP00000352584,9606.ENSP00000353770,9606.ENSP00000354451,9606.ENSP00000354691,9606.ENSP00000355167,9606.ENSP00000355506,9606.ENSP00000355751,9606.ENSP00000355922,9606.ENSP00000356024,9606.ENSP00000356198,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000356607,9606.ENSP00000356991,9606.ENSP00000357112,9606.ENSP00000357389,9606.ENSP00000357643,9606.ENSP00000357668,9606.ENSP00000358813,9606.ENSP00000359114,9606.ENSP00000359393,9606.ENSP00000359892,9606.ENSP00000360299,9606.ENSP00000360540,9606.ENSP00000360944,9606.ENSP00000361405,9606.ENSP00000361540,9606.ENSP00000361850,9606.ENSP00000362018,9606.ENSP00000362108,9606.ENSP00000363001,9606.ENSP00000363149,9606.ENSP00000363524,9606.ENSP00000365413,9606.ENSP00000365773,9606.ENSP00000368516,9606.ENSP00000368727,9606.ENSP00000369129,9606.ENSP00000369293,9606.ENSP00000372295,9606.ENSP00000373364,9606.ENSP00000375829,9606.ENSP00000376352,9606.ENSP00000376457,9606.ENSP00000376992,9606.ENSP00000377492,9606.ENSP00000377601,9606.ENSP00000377793,9606.ENSP00000378177,9606.ENSP00000378356,9606.ENSP00000378517,9606.ENSP00000378699,9606.ENSP00000378743,9606.ENSP00000381008,9606.ENSP00000381535,9606.ENSP00000383737,9606.ENSP00000384949,9606.ENSP00000385545,9606.ENSP00000386918,9606.ENSP00000387498,9606.ENSP00000389356,9606.ENSP00000391090,9606.ENSP00000391490,9606.ENSP00000402219,9606.ENSP00000405726,9606.ENSP00000411532,9606.ENSP00000412292,9606.ENSP00000416037,9606.ENSP00000416293,9606.ENSP00000416561,9606.ENSP00000423014,9606.ENSP00000428205,9606.ENSP00000428489,9606.ENSP00000428876,9606.ENSP00000432568,9606.ENSP00000433277,9606.ENSP00000436812,9606.ENSP00000438483,9606.ENSP00000444628,9606.ENSP00000444788,9606.ENSP00000458585,9606.ENSP00000481380,9606.ENSP00000481841,9606.ENSP00000482841,9606.ENSP00000483621,9606.ENSP00000485028,9606.ENSP00000488437,9606.ENSP00000494957,9606.ENSP00000496939,9606.ENSP00000498748,9606.ENSP00000501092,9606.ENSP00000501146	FAP,CDC6,MMP11,PLEK2,CYP24A1,MYBL2,FERMT1,TIMP1,OLFM4,TOX3,CD79A,CEACAM5,COMP,COL1A1,RAD51AP1,NCAPH,DLGAP5,EGLN3,NCAPG,GDF15,TNS4,CHI3L1,ADAMDEC1,CCNB1,CD180,TCN1,IGF2BP3,BRIP1,SULF1,MMP7,MMP13,KIF11,SLC7A5,GINS1,IL37,EPCAM,SGO1,CDH3,NEIL3,CP,GALNT7,CENPE,EGF,ANLN,ADAM28,TICRR,NUF2,ABCA12,PLA2G7,VWDE,GSDMC,HABP2,SLC7A11,HGD,ABCC3,CXCL13,BUB1B,CCNB2,CD1A,S100P,SPINK1,TNFRSF21,STEAP1,MELK,CLDN10,CHRNA5,PCLAF,PLK1,CKMT1B,TPX2,BUB1,COL3A1,FUT3,CST1,CDCA7,TMPRSS11E,CST2,CCL19,CKS1B,ATP10B,TYMS,PROM2,FDCSP,SULT1C2,NQO1,EZH2,ETV4,B3GNT3,MMP1,SPAG5,ITGA11,COL10A1,PCP4,PLPP2,CTHRC1,CDKN3,NME1,SFN,FAM111B,C15orf48,FOXM1,XRCC2,AKR1B10,RRM2,IQGAP3,FCRL5,HORMAD1,EXO1,THBS2,CENPF,CR2,CHIT1,KIF14,ASPM,RALGPS2,NECTIN4,AIM2,SLC50A1,MKI67,ADAM12,TTK,COL11A1,HMGB3,SLC44A5,ADGRF1,CEP55,STIL,MMP9,CDC20,PLAU,CENPI,LCN2,SMPDL3B,SPDEF,KIF4A,SLC28A3,PSAT1,LGR4,XDH,DSP,IL2RA,GJB2,GOLM1,LAD1,PDK1,ECT2,BCL2L15,HMMR,HELLS,PRC1,CEMIP,KIF20A,SPP1,CDK1,AK4,MUC16,STK32A,DNAH14,PYCR1,KIF26B,KDELR3,FUT2,RPL39L,CHEK1,AGR2,VSIG1,CDC45,TOP2A,DEPDC1,TMPRSS4,SLC2A1,CFB,OCIAD2,FBXO32,PBK,FAM83A,SPTBN2,MS4A1,MUC5B,KPNA2,GLB1L2,TDO2,MMP12,CCNA2,CD24,CRABP2,CABYR,MUC13,PRSS2,UBE2T,KCNN4,GREM1,TFAP2A,HNF4G
GO:0005201	Extracellular matrix structural constituent	10	174	0.73	0.46	0.0120	9606.ENSP00000217939,9606.ENSP00000222271,9606.ENSP00000225964,9606.ENSP00000255409,9606.ENSP00000304408,9606.ENSP00000327368,9606.ENSP00000330523,9606.ENSP00000355751,9606.ENSP00000359114,9606.ENSP00000436812	MXRA5,COMP,COL1A1,CHI3L1,COL3A1,COL10A1,CTHRC1,THBS2,COL11A1,MUC5B
GO:0005515	Protein binding	176	14171	0.07	0.28	0.0172	9606.ENSP00000188790,9606.ENSP00000209728,9606.ENSP00000217026,9606.ENSP00000217289,9606.ENSP00000218388,9606.ENSP00000219022,9606.ENSP00000219746,9606.ENSP00000221972,9606.ENSP00000221992,9606.ENSP00000222271,9606.ENSP00000225964,9606.ENSP00000228843,9606.ENSP00000240423,9606.ENSP00000247191,9606.ENSP00000250457,9606.ENSP00000251496,9606.ENSP00000252809,9606.ENSP00000254051,9606.ENSP00000255409,9606.ENSP00000256442,9606.ENSP00000256447,9606.ENSP00000257264,9606.ENSP00000258729,9606.ENSP00000259008,9606.ENSP00000260227,9606.ENSP00000260731,9606.ENSP00000261622,9606.ENSP00000262460,9606.ENSP00000263326,9606.ENSP00000263735,9606.ENSP00000263753,9606.ENSP00000264012,9606.ENSP00000264613,9606.ENSP00000265148,9606.ENSP00000265171,9606.ENSP00000265748,9606.ENSP00000265769,9606.ENSP00000268138,9606.ENSP00000271452,9606.ENSP00000272895,9606.ENSP00000274793,9606.ENSP00000275358,9606.ENSP00000280612,9606.ENSP00000283871,9606.ENSP00000286758,9606.ENSP00000287598,9606.ENSP00000288207,9606.ENSP00000289429,9606.ENSP00000296370,9606.ENSP00000296695,9606.ENSP00000296861,9606.ENSP00000297205,9606.ENSP00000298048,9606.ENSP00000299339,9606.ENSP00000299565,9606.ENSP00000300035,9606.ENSP00000300093,9606.ENSP00000300283,9606.ENSP00000300403,9606.ENSP00000302530,9606.ENSP00000304408,9606.ENSP00000305603,9606.ENSP00000305731,9606.ENSP00000306968,9606.ENSP00000307519,9606.ENSP00000307540,9606.ENSP00000308815,9606.ENSP00000311083,9606.ENSP00000313600,9606.ENSP00000315644,9606.ENSP00000318270,9606.ENSP00000318437,9606.ENSP00000319622,9606.ENSP00000319788,9606.ENSP00000320147,9606.ENSP00000321835,9606.ENSP00000321874,9606.ENSP00000323300,9606.ENSP00000327290,9606.ENSP00000327368,9606.ENSP00000329403,9606.ENSP00000329697,9606.ENSP00000330523,9606.ENSP00000335357,9606.ENSP00000337060,9606.ENSP00000340989,9606.ENSP00000341565,9606.ENSP00000341610,9606.ENSP00000342307,9606.ENSP00000352271,9606.ENSP00000352584,9606.ENSP00000353770,9606.ENSP00000354451,9606.ENSP00000354691,9606.ENSP00000355167,9606.ENSP00000355506,9606.ENSP00000355751,9606.ENSP00000355922,9606.ENSP00000356024,9606.ENSP00000356198,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000356607,9606.ENSP00000356991,9606.ENSP00000357112,9606.ENSP00000357389,9606.ENSP00000357643,9606.ENSP00000357668,9606.ENSP00000358813,9606.ENSP00000359393,9606.ENSP00000359892,9606.ENSP00000360299,9606.ENSP00000360540,9606.ENSP00000360944,9606.ENSP00000361405,9606.ENSP00000361540,9606.ENSP00000361850,9606.ENSP00000362018,9606.ENSP00000362108,9606.ENSP00000363149,9606.ENSP00000363524,9606.ENSP00000365413,9606.ENSP00000365773,9606.ENSP00000368516,9606.ENSP00000368727,9606.ENSP00000369129,9606.ENSP00000369293,9606.ENSP00000372295,9606.ENSP00000373364,9606.ENSP00000375829,9606.ENSP00000376352,9606.ENSP00000376457,9606.ENSP00000376992,9606.ENSP00000377492,9606.ENSP00000377601,9606.ENSP00000377793,9606.ENSP00000378177,9606.ENSP00000378356,9606.ENSP00000378517,9606.ENSP00000378699,9606.ENSP00000378743,9606.ENSP00000381008,9606.ENSP00000383737,9606.ENSP00000384949,9606.ENSP00000385545,9606.ENSP00000387498,9606.ENSP00000389356,9606.ENSP00000391090,9606.ENSP00000391490,9606.ENSP00000402219,9606.ENSP00000405726,9606.ENSP00000411532,9606.ENSP00000412292,9606.ENSP00000416037,9606.ENSP00000416293,9606.ENSP00000416561,9606.ENSP00000423014,9606.ENSP00000428205,9606.ENSP00000428489,9606.ENSP00000428876,9606.ENSP00000432568,9606.ENSP00000433277,9606.ENSP00000436812,9606.ENSP00000438483,9606.ENSP00000444628,9606.ENSP00000444788,9606.ENSP00000481380,9606.ENSP00000481841,9606.ENSP00000482841,9606.ENSP00000483621,9606.ENSP00000485028,9606.ENSP00000488437,9606.ENSP00000494957,9606.ENSP00000496939,9606.ENSP00000498748,9606.ENSP00000501092	FAP,CDC6,MYBL2,FERMT1,TIMP1,OLFM4,TOX3,CD79A,CEACAM5,COMP,COL1A1,RAD51AP1,NCAPH,DLGAP5,EGLN3,NCAPG,GDF15,TNS4,CHI3L1,CCNB1,CD180,TCN1,IGF2BP3,BRIP1,MMP7,KIF11,SLC7A5,GINS1,IL37,EPCAM,SGO1,CDH3,CP,CENPE,EGF,ANLN,ADAM28,TICRR,NUF2,ABCA12,PLA2G7,VWDE,SLC7A11,HGD,CXCL13,BUB1B,CCNB2,CD1A,S100P,SPINK1,TNFRSF21,STEAP1,MELK,CLDN10,CHRNA5,PCLAF,PLK1,CKMT1B,TPX2,BUB1,COL3A1,FUT3,CST1,CDCA7,TMPRSS11E,CST2,CCL19,CKS1B,ATP10B,TYMS,PROM2,FDCSP,SULT1C2,NQO1,EZH2,ETV4,B3GNT3,SPAG5,ITGA11,COL10A1,PCP4,PLPP2,CTHRC1,CDKN3,NME1,SFN,FAM111B,C15orf48,FOXM1,XRCC2,AKR1B10,RRM2,IQGAP3,FCRL5,HORMAD1,EXO1,THBS2,CENPF,CR2,CHIT1,KIF14,ASPM,RALGPS2,NECTIN4,AIM2,SLC50A1,MKI67,ADAM12,TTK,HMGB3,SLC44A5,ADGRF1,CEP55,STIL,MMP9,CDC20,PLAU,CENPI,LCN2,SPDEF,KIF4A,SLC28A3,PSAT1,LGR4,XDH,DSP,IL2RA,GJB2,GOLM1,LAD1,PDK1,ECT2,BCL2L15,HMMR,HELLS,PRC1,CEMIP,KIF20A,SPP1,CDK1,AK4,MUC16,DNAH14,PYCR1,KIF26B,FUT2,RPL39L,CHEK1,AGR2,VSIG1,CDC45,TOP2A,DEPDC1,TMPRSS4,SLC2A1,CFB,OCIAD2,FBXO32,PBK,FAM83A,SPTBN2,MS4A1,MUC5B,KPNA2,GLB1L2,TDO2,CCNA2,CD24,CRABP2,CABYR,MUC13,PRSS2,UBE2T,KCNN4,GREM1,TFAP2A
GO:0008017	Microtubule binding	12	283	0.6	0.38	0.0240	9606.ENSP00000247191,9606.ENSP00000260731,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000300093,9606.ENSP00000323300,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000363524,9606.ENSP00000377793,9606.ENSP00000378356,9606.ENSP00000385545	DLGAP5,KIF11,CENPE,NUF2,PLK1,SPAG5,CENPF,KIF14,KIF4A,PRC1,KIF20A,KIF26B
