#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0019838	Growth factor binding	17	135	0.6	0.61	0.0012	9606.ENSP00000212355,9606.ENSP00000239223,9606.ENSP00000259989,9606.ENSP00000263923,9606.ENSP00000282397,9606.ENSP00000288135,9606.ENSP00000323929,9606.ENSP00000351905,9606.ENSP00000361112,9606.ENSP00000363708,9606.ENSP00000369442,9606.ENSP00000373574,9606.ENSP00000384126,9606.ENSP00000398368,9606.ENSP00000410294,9606.ENSP00000415743,9606.ENSP00000496870	TGFBR3,DUSP1,FGFBP2,KDR,FLT1,KIT,A2M,TGFBR2,CHRDL1,BMPR2,KL,ACVRL1,LRRC32,LIFR,FGFR2,CD36,LRP2
GO:0004896	Cytokine receptor activity	14	98	0.66	0.59	0.0021	9606.ENSP00000233954,9606.ENSP00000249887,9606.ENSP00000264260,9606.ENSP00000295683,9606.ENSP00000306157,9606.ENSP00000314976,9606.ENSP00000327890,9606.ENSP00000330393,9606.ENSP00000351059,9606.ENSP00000387211,9606.ENSP00000398368,9606.ENSP00000412209,9606.ENSP00000434034,9606.ENSP00000483403	IL1RL1,ACKR4,IL18RAP,CXCR1,IL7R,IL20RA,IL3RA,LEPR,CX3CR1,IL18R1,LIFR,IL5RA,FZD4,GHR
GO:0030246	Carbohydrate binding	25	283	0.45	0.52	0.0023	9606.ENSP00000227756,9606.ENSP00000238875,9606.ENSP00000246006,9606.ENSP00000263686,9606.ENSP00000270879,9606.ENSP00000296130,9606.ENSP00000309124,9606.ENSP00000310036,9606.ENSP00000316881,9606.ENSP00000323587,9606.ENSP00000326407,9606.ENSP00000331736,9606.ENSP00000332723,9606.ENSP00000338130,9606.ENSP00000353013,9606.ENSP00000357008,9606.ENSP00000359765,9606.ENSP00000361366,9606.ENSP00000387239,9606.ENSP00000399679,9606.ENSP00000422533,9606.ENSP00000437082,9606.ENSP00000447378,9606.ENSP00000455897,9606.ENSP00000483713	GALNT18,LGALSL,CD93,SELP,FCN3,CLEC3B,OLR1,CD34,P3H2,ITLN1,CLEC1A,SELE,COLEC10,KLRD1,CLEC14A,ITLN2,ADGRL2,SFTPD,GALNT13,PRG4,ADGRL3,CHI3L2,MGAM,MRC1,KLRF1
GO:0045499	Chemorepellent activity	8	28	0.96	0.64	0.0024	9606.ENSP00000257414,9606.ENSP00000284136,9606.ENSP00000287842,9606.ENSP00000324857,9606.ENSP00000339912,9606.ENSP00000371936,9606.ENSP00000480680,9606.ENSP00000496491	SEMA6A,SEMA3D,NRG1,SEMA6D,FLRT3,SEMA5A,SEMA3B,SEMA3E
GO:0140375	Immune receptor activity	17	151	0.56	0.52	0.0034	9606.ENSP00000233954,9606.ENSP00000249887,9606.ENSP00000264260,9606.ENSP00000295683,9606.ENSP00000306157,9606.ENSP00000314976,9606.ENSP00000327890,9606.ENSP00000330393,9606.ENSP00000338130,9606.ENSP00000351059,9606.ENSP00000387211,9606.ENSP00000398368,9606.ENSP00000412209,9606.ENSP00000434034,9606.ENSP00000468897,9606.ENSP00000483403,9606.ENSP00000483713	IL1RL1,ACKR4,IL18RAP,CXCR1,IL7R,IL20RA,IL3RA,LEPR,KLRD1,CX3CR1,IL18R1,LIFR,IL5RA,FZD4,FPR2,GHR,KLRF1
GO:0098631	Cell adhesion mediator activity	13	94	0.64	0.52	0.0046	9606.ENSP00000278927,9606.ENSP00000299106,9606.ENSP00000304945,9606.ENSP00000324302,9606.ENSP00000333938,9606.ENSP00000335196,9606.ENSP00000359085,9606.ENSP00000363593,9606.ENSP00000364210,9606.ENSP00000380602,9606.ENSP00000407822,9606.ENSP00000422533,9606.ENSP00000497290	ESAM,JAM3,ROBO4,STXBP6,NEXN,GLDN,NTNG1,SVEP1,AGER,CNTN4,CNTN6,ADGRL3,CDH5
GO:0033218	Amide binding	22	247	0.45	0.46	0.0054	9606.ENSP00000242249,9606.ENSP00000253796,9606.ENSP00000264381,9606.ENSP00000265074,9606.ENSP00000318916,9606.ENSP00000327246,9606.ENSP00000330393,9606.ENSP00000355896,9606.ENSP00000357669,9606.ENSP00000362395,9606.ENSP00000363089,9606.ENSP00000364210,9606.ENSP00000366416,9606.ENSP00000376177,9606.ENSP00000405453,9606.ENSP00000415743,9606.ENSP00000428994,9606.ENSP00000433560,9606.ENSP00000434034,9606.ENSP00000454071,9606.ENSP00000468897,9606.ENSP00000483403	RAMP3,RAMP2,BCHE,NPR3,MARCO,VIPR1,LEPR,TGFB2,NPR1,ITM2A,TLR4,AGER,EDNRB,CALCRL,MSR1,CD36,GRIA1,CRYAB,FZD4,LDLR,FPR2,GHR
GO:0098632	Cell-cell adhesion mediator activity	10	59	0.73	0.49	0.0079	9606.ENSP00000278927,9606.ENSP00000299106,9606.ENSP00000304945,9606.ENSP00000324302,9606.ENSP00000333938,9606.ENSP00000335196,9606.ENSP00000359085,9606.ENSP00000380602,9606.ENSP00000407822,9606.ENSP00000497290	ESAM,JAM3,ROBO4,STXBP6,NEXN,GLDN,NTNG1,CNTN4,CNTN6,CDH5
GO:0004714	Transmembrane receptor protein tyrosine kinase activity	10	63	0.7	0.45	0.0123	9606.ENSP00000263923,9606.ENSP00000280527,9606.ENSP00000282397,9606.ENSP00000288135,9606.ENSP00000342235,9606.ENSP00000361554,9606.ENSP00000369375,9606.ENSP00000373700,9606.ENSP00000378058,9606.ENSP00000410294	KDR,CRIM1,FLT1,KIT,ERBB4,TIE1,TEK,ALK,EFEMP1,FGFR2
GO:0048306	Calcium-dependent protein binding	11	77	0.66	0.44	0.0123	9606.ENSP00000226760,9606.ENSP00000232975,9606.ENSP00000261448,9606.ENSP00000263686,9606.ENSP00000264908,9606.ENSP00000323929,9606.ENSP00000341442,9606.ENSP00000357702,9606.ENSP00000357721,9606.ENSP00000357726,9606.ENSP00000357905	WFS1,TNNC1,CASQ2,SELP,ANXA3,A2M,SNTN,S100A3,S100A8,S100A12,DMBT1
